Macro Área;Nome do Framework;Elementos Principais
1. Estratégia Corporativa;GE-McKinsey Matrix (Nine-Box);Avalia unidades de negócio em 3x3: Atratividade da Indústria vs. Força Competitiva (Investir, Manter, Desinvestir).
1. Estratégia Corporativa;Three Horizons of Growth (McK);"H1: Core (lucro atual); H2: Emergente (crescimento rápido); H3: Opções Futuras (inovação/aprendizado)."
1. Estratégia Corporativa;Founder's Mentality (Bain);3 traços vitais: Missão Insurgente, Obsessão pela Linha de Frente, Mentalidade de Dono. Combate a burocracia.
1. Estratégia Corporativa;Profit from the Core (Bain);Foco estratégico em extrair valor máximo do negócio principal antes de buscar adjacências arriscadas.
1. Estratégia Corporativa;Adjacency Expansion (Bain);Método para crescer expandindo o core para áreas próximas (novas geografias, canais ou produtos) de forma controlada.
1. Estratégia Corporativa;Granularity of Growth (McK);"Decompõe o crescimento em micromercados (""pockets""); analisa Momentum de Portfólio vs. M&A vs. Share."
1. Estratégia Corporativa;Staircases to Growth (McK);"7 Graus de Liberdade para crescer, desde ""vender mais aos mesmos"" até ""mudar a estrutura da indústria""."
1. Estratégia Corporativa;Great Repeatable Models (Bain);Princípios de diferenciação simples e não-negociáveis que permitem escalar a empresa sem aumentar a complexidade.
1. Estratégia Corporativa;Strategic Control Map (McK);Analisa a cadeia de valor para identificar onde reside o poder de fixação de preços e controle de mercado.
1. Estratégia Corporativa;Portfolio of Initiatives (McK);Trata a estratégia como opções financeiras: apostas pequenas iniciais que aumentam conforme a incerteza cai.
2. Cliente & Marketing;Net Promoter System - NPS (Bain);Classificação (Promotores/Passivos/Detratores) + Sistema de Feedback (Inner Loop/Outer Loop).
2. Cliente & Marketing;NPS Prism (Bain);Benchmarking que compara a pontuação NPS de episódios específicos da jornada contra concorrentes.
2. Cliente & Marketing;Earned Growth Rate (Bain);A métrica sucessora do NPS: mede o crescimento real gerado por retenção e referências (clientes voltando).
2. Cliente & Marketing;Elements of Value B2C (Bain);Pirâmide com 30 elementos (funcional, emocional, mudança de vida, impacto social) baseada em Maslow.
2. Cliente & Marketing;Elements of Value B2B (Bain);"40 elementos de valor corporativo, desde ""table stakes"" (preço) até ""inspiracional"" (visão/esperança)."
2. Cliente & Marketing;Consumer Decision Journey (McK);"Modelo circular de compra: Consideração, Avaliação, Compra e o crítico ""Loyalty Loop"" (pós-compra)."
2. Cliente & Marketing;Brand Accelerator (Bain);Processo para revitalizar marcas através de decisões de posicionamento e otimização do mix de ativação.
2. Cliente & Marketing;Customer Corridor / Episodes (Bain);"Análise detalhada de ""episódios"" específicos da experiência do cliente (ex: ""perdi meu cartão"") para otimização."
3. Organização & Pessoas;7-S Framework (McK);"Alinhamento de 7 fatores: Strategy, Structure, Systems (Hard); Shared Values, Style, Staff, Skills (Soft)."
3. Organização & Pessoas;Organizational Health Index - OHI (McK);"Diagnóstico de ""saúde"" (capacidade de renovação) via 9 outcomes (ex: Direção, Liderança) e 37 práticas."
3. Organização & Pessoas;RAPID® Decision Making (Bain);Define quem faz o quê na decisão: Recommend, Agree, Perform, Input, Decide. Evita paralisia.
3. Organização & Pessoas;Decision Effectiveness (Bain);Auditoria da qualidade, velocidade, rendimento (yield) e esforço envolvido nas decisões corporativas.
3. Organização & Pessoas;Talent to Value (McK);Identifica os 2% dos cargos (não pessoas) que geram 80% do valor e garante que os melhores talentos estejam lá.
3. Organização & Pessoas;Influence Model (McK);4 chaves para mudar comportamento: Role Modeling, Compreensão/Convicção, Talentos/Skills, Mecanismos Formais.
3. Organização & Pessoas;Centered Leadership (McK);Modelo de liderança focado em Significado, Enquadramento Positivo, Conexão, Engajamento e Energia.
3. Organização & Pessoas;Org Archetypes (McK);Classifica a cultura em 4 tipos: Foco no Mercado, Vantagem na Execução, Talento/Conhecimento, Liderada por Líderes.
4. Operações & Performance;Results Delivery® (Bain);"Gestão de risco de mudança. Foca na ""Espinha Dorsal de Patrocínio"" (Sponsorship Spine) e mudança comportamental."
4. Operações & Performance;Micro-battles System (Bain);Ciclo ágil: Win (prototipar rápido), Scale (testar replicabilidade), Amplify (liderança remove barreiras).
4. Operações & Performance;Zero-Based Redesign - ZBR (Bain);"Redesenho radical de processos partindo do zero (""folha em branco"") para eliminar complexidade, não apenas custos."
4. Operações & Performance;Zero-Based Budgeting - ZBB (Bain/Geral);Justificativa de cada despesa do zero a cada ciclo, evitando orçamentos baseados no histórico anterior.
4. Operações & Performance;Lean Management System (McK);Sistema operacional focado em: Propósito, Fluxo de Valor Técnico, Capacidades e Mentalidade de Melhoria Contínua.
4. Operações & Performance;Industry Cost Curve (McK);Gráfico que plota concorrentes por custo vs. volume para identificar posição competitiva e potencial de preço.
4. Operações & Performance;Business System (McK);Visão integrada da cadeia de valor (R&D -> Produção -> Vendas -> Serviço) para achar vantagem competitiva.
4. Operações & Performance;Full Potential Transformation (Bain);Plano holístico cross-funcional para dobrar ou triplicar o valor da empresa (financeiro, estratégico e operacional).
4. Operações & Performance;Economic Profit / EP (McK);Métrica financeira real: Lucro Operacional menos o Custo de Capital (WACC). Foca na criação de valor real.
5. Inovação & Tecnologia;Engine 1 vs. Engine 2 (Bain);Engine 1: Extração eficiente do Core atual. Engine 2: Startup interna protegida para criar o futuro.
5. Inovação & Tecnologia;Rule of 40 (Bain);Métrica para Tech/SaaS: Crescimento da Receita + Margem de Lucro deve ser >= 40% para ser saudável.
5. Inovação & Tecnologia;Digital Quotient - DQ (McK);Score de maturidade digital baseado em Estratégia, Cultura, Organização e Capacidades.
5. Inovação & Tecnologia;Rewired / Digital Factory (McK);Modelo para escalar IA/Digital: Squads ágeis, Data Products, Governança de Dados e Adoção.
5. Inovação & Tecnologia;Design to Value (McK);"Engenharia de produto focada estritamente no que o cliente valoriza (e paga), removendo custos ""invisíveis""."
5. Inovação & Tecnologia;GHG Abatement Cost Curve (McK);"Curva de custo marginal para descarbonização. Prioriza ações com ""custo negativo"" (economia) primeiro."
6. Metodologia & Cognição;MECE (McK);Mutuamente Exclusivo, Coletivamente Exaustivo. A regra de ouro para estruturar problemas sem gaps ou overlaps.
6. Metodologia & Cognição;Pyramid Principle (McK);Comunicação: Começar com a Resposta/Conclusão, depois agrupar argumentos de suporte logicamente.
6. Metodologia & Cognição;Answer First (Bain);"Hipótese: Começar o projeto com a ""melhor resposta provável"" e usar a análise apenas para validá-la."
6. Metodologia & Cognição;Issue Trees / Logic Trees (McK);Decomposição visual de um problema complexo em sub-questões menores e testáveis (baseado no MECE).
6. Metodologia & Cognição;SCQA (McK/Minto);Storytelling para negócios: Situation (Contexto), Complication (Problema), Question (Dúvida), Answer (Solução).
6. Metodologia & Cognição;80/20 Rule (Bain focus);Aplicação obsessiva de Pareto: focar nos 20% das causas/produtos/clientes que geram 80% do valor/problemas.
6. Metodologia & Cognição;Voice of the Customer (Bain/McK);Metodologias qualitativas e quantitativas para capturar a verdade não filtrada do cliente final.
6. Metodologia & Cognição;Clean Team (Bain/McK - M&A);Equipe isolada em fusões que acessa dados confidenciais de ambas as empresas antes do fechamento legal.
6. Metodologia & Cognição;Hypothesis-Driven Problem Solving;O método científico aplicado a negócios: Formular hipótese -> Coletar dados -> Refinar -> Concluir.
Estratégia (Diagnóstico);Three Crises of Growth (Bain);Identifica crises na escala: Overload (sobrecarga), Stall-out (burocracia paralisa) e Free Fall (perda de relevância).
Estratégia (Diagnóstico);SCP Framework (McK);Structure-Conduct-Performance. Analisa como a estrutura de mercado dita a conduta das empresas e os resultados. Base da análise industrial.
Estratégia (Diagnóstico);Business Transformation Matrix (Bain);Matriz 2x2 para planejar transformações: Magnitude da mudança necessária vs. Saúde atual do negócio.
Estratégia (Diagnóstico);"Differentiating Capabilities / ""Spikiness"" (Bain)";"A teoria de que empresas vencem por serem excepcionais em 2-3 capacidades (spikes) e apenas ""boas o suficiente"" no resto."
Estratégia (Diagnóstico);CEO Excellence / 6 Mindsets (McK);Framework moderno (2022): Direção, Alinhamento, Mobilização através de Líderes, Engajamento do Board, Conexão com Stakeholders, Eficácia Pessoal.
Finanças & Valor;Value Driver Trees / ROIC Tree (McK);Decompõe o Retorno sobre Capital Investido em centenas de alavancas operacionais (ex: Preço, Volume, Custo Fixo). Essencial para Analytics.
Finanças & Valor;Loyalty Economics (Bain);A matemática por trás do NPS: calcula o valor do ciclo de vida (LTV) de um Promotor vs. Detrator para justificar investimento em CX.
Finanças & Valor;Total Shareholder Return (TSR) (BCG/Geral);Usado por todos, mas a McK decompõe em: Crescimento de Receita + Expansão de Margem + Múltiplo de Cash Flow.
Organização Avançada;Organize to Value (McK);A evolução moderna do 7-S. Redesenha a organização em torno de Fluxos de Valor e não de departamentos funcionais.
Organização Avançada;Operating Model Design - 12 Elements (McK);Vai além do organograma: define Governança, Processos, Dados, Tecnologia, Fornecedores, Cultura, etc.
Organização Avançada;Leadership Mindsets & Behaviors (Bain);Matriz que mapeia os comportamentos específicos que líderes precisam adotar (ou abandonar) para destravar a cultura.
Execução & Mudança;Initiative Rollout Matrix (Bain);Define como implementar uma mudança: Alta/Baixa Padronização vs. Alta/Baixa Mudança de Comportamento.
Execução & Mudança;5 Trademarks of Agile (McK);Define Agile real: Estrela do Norte (propósito), Rede de Equipes, Ciclos Rápidos, Pessoas Dinâmicas, Tecnologia de Próxima Geração.
Execução & Mudança;McKinsey 7-Step Problem Solving (McK);O processo formal: 1.Definir, 2.Estruturar, 3.Priorizar, 4.Planejar Análise, 5.Realizar Análise, 6.Sintetizar, 7.Recomendar.
Execução & Mudança;Influence Model (McK);(Detalhe do Change Mgt): Fostering Understanding (Eu entendo), Reinforcing (Estruturas ajudam), Skills (Eu sei fazer), Role Modeling (Eu vejo líderes fazendo).
Ferramentas Clássicas;Ansoff Matrix (Uso Geral/McK);Matriz de Crescimento: Penetração de Mercado, Desenvolvimento de Produto, Desenvolvimento de Mercado, Diversificação.
Ferramentas Clássicas;Porter’s Five Forces (Uso Geral/McK);Análise de Indústria: Rivalidade, Poder de Fornecedores, Poder de Clientes, Novos Entrantes, Substitutos.
Ferramentas Clássicas;Value Chain Analysis (Uso Geral/McK);Mapeia atividades primárias (Logística, Operações, Vendas) e de suporte (RH, Tech) para achar onde o valor é criado.
Ferramentas Clássicas;PESTEL Analysis (Uso Geral/Bain);Análise Macro: Político, Econômico, Social, Tecnológico, Ambiental (Environmental), Legal.
Ferramentas Clássicas;SWOT Analysis (Uso Geral);Forças, Fraquezas, Oportunidades, Ameaças. (Usado como summary após análises mais complexas).
